
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0082/1000| Loss 0.3231 | Train Accuracy 0.7257 | Val Accuracy 0.7331 | Test Accuracy 0.6750 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0083/1000| Loss 0.3384 | Train Accuracy 0.7285 | Val Accuracy 0.7402 | Test Accuracy 0.6938 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0084/1000| Loss 0.3189 | Train Accuracy 0.7408 | Val Accuracy 0.7402 | Test Accuracy 0.7033 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0085/1000| Loss 0.3225 | Train Accuracy 0.7450 | Val Accuracy 0.7351 | Test Accuracy 0.6898 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0086/1000| Loss 0.3195 | Train Accuracy 0.7413 | Val Accuracy 0.7223 | Test Accuracy 0.6778 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0087/1000| Loss 0.3157 | Train Accuracy 0.7388 | Val Accuracy 0.7302 | Test Accuracy 0.6800 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0088/1000| Loss 0.3173 | Train Accuracy 0.7327 | Val Accuracy 0.7368 | Test Accuracy 0.6947 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0089/1000| Loss 0.3146 | Train Accuracy 0.7451 | Val Accuracy 0.7455 | Test Accuracy 0.6881 | Best val. Accuracy 0.7475 | Best test Accuracy 0.7001
Epoch 0090/1000| Loss 0.3148 | Train Accuracy 0.7491 | Val Accuracy 0.7548 | Test Accuracy 0.6967 | Best val. Accuracy 0.7548 | Best test Accuracy 0.6967
Epoch 0091/1000| Loss 0.3101 | Train Accuracy 0.7456 | Val Accuracy 0.7560 | Test Accuracy 0.7027 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0092/1000| Loss 0.3119 | Train Accuracy 0.7199 | Val Accuracy 0.7331 | Test Accuracy 0.7027 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0093/1000| Loss 0.3178 | Train Accuracy 0.7434 | Val Accuracy 0.7441 | Test Accuracy 0.6814 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0094/1000| Loss 0.3147 | Train Accuracy 0.7464 | Val Accuracy 0.7430 | Test Accuracy 0.6793 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0095/1000| Loss 0.3121 | Train Accuracy 0.7290 | Val Accuracy 0.7421 | Test Accuracy 0.6920 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0096/1000| Loss 0.3092 | Train Accuracy 0.7028 | Val Accuracy 0.7377 | Test Accuracy 0.6924 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
